Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Percentage in Communication skills,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,certifications,workshops,talenttests taken?,olympiads,reading and writing skills,memory capability score,Interested subjects,interested career area ,Job/Higher Studies?,Type of company want to settle in?,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Salary Range Expected,In a Realtionship?,Gentle or Tuff behaviour?,Management or Technical,Salary/work,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
73,69,63,90,64,60,80,78,78,4,5,0,6,2,yes,yes,no,information security,testing,yes,yes,poor,poor,programming,testing,higherstudies,BPA,no,yes,Series,Work,yes,stubborn,Management,work,smart worker,yes,no,Applications Developer
71,85,61,87,69,80,64,70,93,6,7,6,4,3,no,no,yes,shell programming,testing,no,no,excellent,medium,Management,system developer,higherstudies,Cloud Services,yes,no,Autobiographies,salary,yes,gentle,Technical,salary,hard worker,no,yes,Applications Developer
83,84,82,60,88,93,92,85,84,6,2,3,9,1,yes,no,yes,information security,testing,yes,yes,excellent,poor,data engineering,Business process analyst,job,product development,yes,yes,Travel,salary,yes,stubborn,Technical,work,smart worker,no,no,Applications Developer
80,63,78,78,71,64,64,83,93,9,2,6,3,5,no,no,yes,r programming,database security,yes,yes,excellent,poor,networks,testing,job,Testing and Maintainance Services,yes,yes,Guide,Work,no,gentle,Management,salary,smart worker,yes,yes,Applications Developer
69,72,80,78,92,91,76,74,77,7,2,0,3,4,no,yes,no,distro making,game development,yes,no,excellent,medium,Software Engineering,system developer,higherstudies,BPA,no,yes,Health,Work,no,stubborn,Technical,work,hard worker,yes,no,Applications Developer
66,77,87,65,87,71,66,68,83,10,7,3,5,7,yes,yes,yes,distro making,data science,yes,yes,poor,excellent,cloud computing,security,job,Cloud Services,no,yes,Journals,salary,no,gentle,Management,salary,hard worker,no,yes,Applications Developer
86,67,76,75,81,61,86,67,67,12,9,1,9,1,yes,yes,yes,machine learning,system designing,yes,yes,medium,excellent,cloud computing,testing,job,Cloud Services,no,no,Anthology,salary,no,gentle,Technical,work,smart worker,no,yes,Applications Developer
64,87,64,77,60,75,74,92,61,8,9,0,6,1,yes,no,no,machine learning,hacking,yes,no,medium,poor,parallel computing,developer,job,BPA,no,yes,Dictionaries,salary,yes,stubborn,Technical,work,smart worker,no,no,Applications Developer
94,76,61,90,71,69,67,67,80,11,1,1,1,4,yes,yes,yes,full stack,game development,yes,yes,excellent,excellent,programming,Business process analyst,higherstudies,SAaS services,yes,no,Prayer books,salary,no,stubborn,Technical,work,smart worker,yes,yes,Applications Developer
79,88,74,91,72,79,93,67,85,4,6,5,4,2,no,no,yes,machine learning,cloud computing,no,no,excellent,poor,networks,system developer,job,SAaS services,no,no,Art,salary,no,stubborn,Management,work,hard worker,yes,yes,Applications Developer
